addr,house_sale_price,latitude,longitude
1735 W SCHOOL ST,635000.0,41.941265200000004,-87.67255163985024
11311 S COTTAGE GROVE AVE,134000.0,41.688757100000004,-87.6104099783525
5733 S SANGAMON ST,143000.0,41.7896005,-87.64838532760416
5733 S SANGAMON ST,18500.0,41.7896005,-87.64838532760416
3621 W 83RD PL,159000.0,41.74119585,-87.71284697305435
5434 W 31ST ST,73500.0,41.836514388256944,-87.76017098788626
9054 W GRAND AVE,185000.0,41.8915575,-87.6355718
2455 S WHIPPLE ST,140000.0,41.846585649999994,-87.70120378219428
4939 N ORIOLE AVE,335000.0,41.969668687500004,-87.81707431250001
1520 N GREENVIEW AVE,650000.0,41.909517449999996,-87.66546545
3300 N SPRINGFIELD AVE,390000.0,41.9410685,-87.7250997739655
1929 N CLEVELAND AVE,3825000.0,41.91738155,-87.64088559212429
2544 W WARREN BLVD,520000.0,41.88213491877966,-87.69005747989844
7435 S MICHIGAN AVE,232900.0,41.759080850000004,-87.62123513216224
1651 W 79TH ST,35000.0,41.7492271,-87.737281
3925 W EDDY ST,492000.0,41.9452354,-87.72596824868796
2469 N LINDEN PL,220000.0,41.926463299999995,-87.70451489853333
2469 N LINDEN PL,460000.0,41.926463299999995,-87.70451489853333
2832 25TH AVE,198000.0,41.9447715,-87.8658895
5328 W MELROSE ST,279900.0,41.93977595,-87.76035121318543
4201 N MOZART ST,800000.0,41.957729650000005,-87.69929160842594
5115 N DAMEN AVE,542400.0,41.974931,-87.679259
2505 S 10TH AVE,160000.0,41.8815724,-87.8451336
2118 N MAGNOLIA AVE,1210000.0,41.920438399999995,-87.6598907352205
3208 SCOTT ST,174500.0,41.9760261,-87.8759232
3833 N ALTA VISTA TER,760000.0,41.9521058,-87.65636777542011
1064 W CHESTNUT ST,550000.0,41.8983449,-87.65461352206856
1632 LOMBARD AVE,191000.0,41.7023311,-87.7724138
1039 MEADOWLARK LN,585000.0,41.3893999,-87.6525789
8114 S LUELLA AVE,85000.0,41.74751845,-87.57010174893793
2625 N AUSTIN AVE,227700.0,41.92827315,-87.77561703161584
7544 W DEVON AVE,238750.0,41.99725145,-87.81532047295919
1830 W SUNNYSIDE AVE,455000.0,41.963406163265304,-87.67560104081632
1420 W 112TH PL,32500.0,41.689550749999995,-87.6577509002185
16421 BEVERLY DR,245000.0,41.7181532,-87.6717674
1623 DIXIE HWY,159677.0,41.501135496667054,-87.6402829880257
7764 S LUELLA AVE,130000.0,41.753547999999995,-87.57021888168507
1916 W WAVELAND AVE,725000.0,41.94891895000001,-87.676927973918
4956 N LOUISE AVE,446000.0,41.9894719,-87.7544317
6436 S KEELER AVE,52000.0,41.7756543,-87.7278504
841 N LATROBE AVE,76992.0,41.89614925,-87.75658668046876
1513 W HARRISON ST,425000.0,41.87385605,-87.66482102656491
8111 KILBOURN AVE,462000.0,41.6983542,-87.7327135
2253 W MELROSE ST,290000.0,41.9402258,-87.68530365000001
8036 S EMERALD AVE,40000.0,41.74775635,-87.64302936731795
1708 N KEDVALE AVE,207657.200811359,41.91198795,-87.7305664
6537 S CAMPBELL AVE,60000.0,41.7744699,-87.68566016292243
5032 W AGATITE AVE,301000.0,41.96178345,-87.75379509965626
3042 N WOLCOTT AVE,440000.0,41.9372573,-87.67602487366518
3238 N WHIPPLE ST,678030.0,41.9405254,-87.7042710495272
1708 N KEDVALE AVE,167342.799188641,41.91198795,-87.7305664
716 WASHINGTON ST,392000.0,41.7001138,-87.7735296
647 N CHRISTIANA AVE,61000.0,41.893271549999994,-87.70987998257422
9615 S FRANCISCO AVE,180000.0,41.718659152321926,-87.69424953841073
4444 N OPAL AVE,307000.0,41.9378193,-87.8226158
1426 DEERPATH LN,299000.0,42.2480789,-87.8595144
7326 W 62ND ST,178000.0,41.77912897620205,-87.80413411850355
6644 N CAMPBELL AVE,298000.0,42.00264335,-87.69273749627067
7117 S PRINCETON AVE,15000.0,41.7648533,-87.6319278575969
412 N HOME AVE,647500.0,39.747374,-84.238737
412 N HOME AVE,366049.0,39.747374,-84.238737
3023 N LOTUS AVE,256900.0,41.93568175,-87.7624288589404
7433 W PALATINE AVE,280000.0,41.99519585,-87.81311747620444
6350 N MELVINA AVE,350000.0,41.99659,-87.78316580164034
54 E 68TH ST,42800.0,41.77122305,-87.62298667419057
5932 HURON ST,149000.0,41.891743,-87.8381579
8115 S CRANDON AVE,57000.0,41.74771486187632,-87.5684952643646
4329 N CENTRAL PARK AVE,280000.0,41.960166799999996,-87.71775149340641
3500 W 77TH ST,90000.0,41.753555199999994,-87.70999666184116
3444 N OSAGE AVE,305000.0,41.9424955,-87.82560440897343
1715 N FRANCISCO AVE,590000.0,41.912803800000006,-87.69887903202003
8306 N ORIOLE AVE,310000.0,41.983287,-87.8168324
2118 S PULASKI RD,48000.0,41.85289185,-87.72503047872169
4216 N MOZART ST,800000.0,41.95811625,-87.69989489805133
1835 W SCHOOL ST,1355000.0,41.941262949999995,-87.67537245692094
14001 THOMAS DR,296900.0,41.906591,-88.213473
9506 JEFFERSON AVE,260000.0,39.7155791,-82.9584737
8556 HEMLOCK ST,235000.0,41.6377365,-87.4508792
6015 OAKLAND AVE,160000.0,41.8236535,-87.6082424
17824 CHERRYWOOD LN,88428.0,41.90403,-88.19235
932 N HONORE ST,1065000.0,41.898753049999996,-87.67374401510395
10409 S OAK PARK AVE,145000.0,41.7843973,-87.7912839
2621 E 74TH ST,88200.0,41.76106035,-87.56078551419213
5140 S MEADE AVE,192500.0,41.798595750000004,-87.77495461699093
2147 N MCVICKER AVE,339000.0,41.9192795,-87.7765059001899
1928 S 58TH AVE,155000.0,41.85408057412939,-87.76901149283081
8301 W MAPLE AVE,403000.0,41.4817332,-87.6455702
2656 WALNUT ST,295000.0,39.7161203,-82.9494785
4157 S ARCHER AVE,188000.0,41.8430513,-87.6550083
1630 S FAIRFIELD AVE,238000.0,41.85827385,-87.69469884511756
5530 S NEW ENGLAND AVE,189000.0,41.79115615,-87.79423748658509
4615 S LEAMINGTON AVE,106000.0,41.8088579,-87.75148878286527
3930 N KIMBALL AVE,467000.0,41.953007400000004,-87.71315278696107
4537 W 55TH ST,300000.0,41.7928721,-87.73691760924085
7148 S KEDZIE AVE,180000.0,41.7629122,-87.70306709600803
617 HARLEM AVE,325000.0,41.701125,-87.7978359
2104 EUCLID AVE,305000.0,41.49553176470588,-87.645271
5449 W SUNNYSIDE AVE,725000.0,41.96211665,-87.76432266641919
2229 N HARLEM AVE,275000.0,41.9207223,-87.80578605879397
10519 S AVENUE F,115000.0,41.7039372,-87.53017455044426
2304 S 15TH AVE,170000.0,41.8875975,-87.85167
4527 W FULTON ST,126900.0,41.885148,-87.73916860630223
2259 N MANGO AVE,230000.0,41.921987,-87.76927050303696
1137 UNION AVE,35000.0,41.51089954875908,-87.633055221353
2185 N MERRIMAC AVE,295000.0,41.92071865,-87.7814061054622
9924 S MAPLEWOOD AVE,180000.0,41.71283315,-87.68612755051151
242 WHISPERING LAKE DR,480000.0,41.66080740252033,-87.87005001004445
107 W 118TH ST,58540.0,41.6795642,-87.62561758608248
5119 W 30TH PL,164000.0,41.8389246,-87.6353563
1106 N HUMPHREY AVE,347000.0,41.906055824514034,-87.77668103817813
1715 N LONG AVE,125900.0,41.911735,-87.76035729568295
5127 W SAINT PAUL AVE,131000.0,41.912073750000005,-87.75389453366563
5309 S MCVICKER AVE,218000.0,41.79587815,-87.77309824551281
2030 N LECLAIRE AVE,265000.0,41.91777035,-87.75368
5251 WASHINGTON ST,272000.0,41.7001138,-87.7735296
17137 OCONTO AVE,212000.0,41.9708923,-87.8083406
1829 N ALBANY AVE,935000.0,41.9145846,-87.70495755
