addr,condo_sale_price,latitude,longitude
2439 N BURLING ST,519000.0,41.9266999,-87.64725340572917
2525 N SHEFFIELD AVE,518500.0,41.92790325,-87.65334003864876
411 W ONTARIO ST,325000.0,41.89287805,-87.6397683021912
3017 W CULLOM AVE,182000.0,41.9592666,-87.7041894450626
9355 W IRVING PARK RD,105000.0,41.9536094,-87.7322066
1560 N SANDBURG TER,235000.0,41.90951845,-87.63255027409821
4323 N DRAKE AVE,47000.0,41.96002355,-87.71641015805471
359 W SUPERIOR ST,685000.0,41.89546489621121,-87.63764555846082
5931 W HURON ST,42500.0,41.89257535,-87.77343286706065
600 N FAIRBANKS CT,480000.0,41.892841849999996,-87.62064970004936
2 E OAK ST,150000.0,41.9011534,-87.6280169335939
1775 W TERRA COTTA PL,375000.0,41.92748452217524,-87.6721649583545
3117 N ORCHARD ST,408500.0,41.9385202,-87.64582420239327
900 N KINGSBURY ST,360000.0,41.89776714141414,-87.64316246464647
1365 ASHLAND AVE,172500.0,41.506680002630034,-87.65481868045525
11010 S CENTRAL AVE,43200.0,41.7890627,-87.7621539
3003 W MONTROSE AVE,195000.0,41.961135,-87.70358514407337
9128 TERRACE DR,101000.0,41.5325488,-87.6484136
70 W BURTON PL,158000.0,41.90968695,-87.63124217546186
2221 W MONROE ST,195000.0,41.87983450212828,-87.6822943772691
18404 CENTURY CT,161500.0,42.025425350000006,-88.07572180028902
4600 N CUMBERLAND AVE,76500.0,41.963386400000005,-87.83722824882868
535 N MICHIGAN AVE,239999.0,41.8919452,-87.6235734
1523 N CLEVELAND AVE,538000.0,41.90998775,-87.64069478120308
30 E DIVISION ST,290000.0,41.9042934,-87.62739863844756
132 E DELAWARE PL,2040000.0,41.89928405620157,-87.62470954521791
2429 W WALTON ST,160000.0,41.89824145,-87.68813077079525
8465 W LAWRENCE AVE,115000.0,41.9662694,-87.83911699005667
2823 N LAKEWOOD AVE,430000.0,41.933197899999996,-87.66085322511803
1757 N PAULINA ST,733900.0,41.91403335,-87.66960510447748
1906 N HUDSON AVE,729000.0,41.91675735,-87.64029939421769
811 CHICAGO AVE,306000.0,41.8943776,-87.7961647
857 W ROSCOE ST,650000.0,41.94334135,-87.65160892564008
2800 N LAKE SHORE DR,225000.0,41.93336715,-87.63725107997416
480 N MCCLURG CT,38000.0,41.8908998,-87.6179741
4250 N MARINE DR,140000.0,41.9604386,-87.6469076
4343 N CLARENDON AVE,185000.0,41.96155365,-87.64960882482421
4250 N MARINE DR,189000.0,41.9604386,-87.6469076
124 W POLK ST,270000.0,41.8723768,-87.6313677645957
732 S FINANCIAL PL,305000.0,41.8725204,-87.63284927568232
4553 N MAGNOLIA AVE,285000.0,41.964483871004646,-87.66089387467454
400 PARK AVE,10000.0,41.5043281,-87.6357513
501 N CLINTON ST,500000.0,41.8910787,-87.64221646820133
6901 S OGLESBY AVE,68000.0,41.76961585,-87.56777411011116
5465 S INGLESIDE AVE,146900.0,41.79584485,-87.60208191772993
1542 W SHERWIN AVE,99000.0,42.015225099999995,-87.66982133467329
15705 PEGGY LN,60500.0,41.5093797,-87.6633949
7033 N KEDZIE AVE,120900.0,42.00903015,-87.70845797953439
7033 N KEDZIE AVE,69500.0,42.00903015,-87.70845797953439
455 W GRANT PL,280000.0,41.92263135,-87.64121065284351
850 WELLINGTON AVE,124000.0,41.9334439,-87.8910709
602 W ARLINGTON PL,340000.0,41.9269319,-87.64415215450757
400 S GREEN ST,375000.0,41.8765215,-87.6485639
6525 16TH ST,50000.0,41.5025007,-87.6365564
1928 W BELMONT AVE,407500.0,41.9398051,-87.67711528079752
3660 N LAKE SHORE DR,565000.0,41.9496248,-87.6463764
1000 N LAKE SHORE DR,225000.0,41.90104265,-87.62462842865725
228 W SAINT PAUL AVE,810000.0,41.91377465,-87.63600194626898
505 N MCCLURG CT,602000.0,41.891212669995134,-87.61756302106903
1633 ORCHARD AVE,173500.0,41.5060402,-87.6579408
2808 W LOGAN BLVD,345000.0,41.92898705,-87.69805179542087
1836 W BELMONT AVE,385000.0,41.9394351,-87.6930333
30 W OAK ST,850000.0,41.900772,-87.62950045199999
7710 N SHERIDAN RD,99744.0,42.0214539,-87.66702881450125
6325 N SHERIDAN RD,160000.0,41.997173950000004,-87.65509285747447
1 E SCOTT ST,163000.0,41.90462205,-87.62829380116939
758 W 14TH PL,367500.0,41.862432031385524,-87.64650928298435
512 W BELDEN AVE,284388.0,41.92400395,-87.64199477982558
4343 N CLARENDON AVE,215000.0,41.96155365,-87.64960882482421
6800 N CALIFORNIA AVE,122500.0,42.00552395,-87.70025223990874
5700 W 128TH ST,69000.0,41.6614678,-87.6347604
900 E WILMETTE RD,136000.0,42.10472,-88.022767
455 W WOOD ST,203950.0,42.113905,-88.055046
435 W WOOD ST,265000.0,42.113909,-88.05494466666667
8 W MONROE ST,268800.0,41.88082579405468,-87.62802063685872
159 E WALTON PL,6500000.0,41.899945507323125,-87.6228436526634
2045 N LARRABEE ST,340000.0,41.919084244109065,-87.6435843706849
1901 S CALUMET AVE,35000.0,41.85613255,-87.61866439764628
300 N STATE ST,300000.0,41.887925,-87.628129
3930 N PINE GROVE AVE,172000.0,41.9540809,-87.6484950559091
3930 N PINE GROVE AVE,125000.0,41.9540809,-87.6484950559091
3930 N PINE GROVE AVE,210000.0,41.9540809,-87.6484950559091
2814 N SHEFFIELD AVE,519000.0,41.9331736,-87.65424275000001
